"時点","地域コード","地域","総面積（北方地域及び竹島を除く）【ha】","注記","森林面積【ha】","注記","年平均気温【℃】","注記","最高気温（日最高気温の月平均の最高値）【℃】","注記","最低気温（日最低気温の月平均の最低値）【℃】","注記","快晴日数（年間）【日】","注記","曇天日数（年間）【日】","注記","降水日数（年間）【日】","注記"
"2001年","28000","兵庫県","839242","","","","16.9","","33.0","","2.4","","25","","120","","83",""
"2001年","29000","奈良県","369109","","","","15.1","","33.5","","-0.2","","23","","154","","101",""
"2001年","30000","和歌山県","472558","","","","16.7","","32.3","","2.1","","32","","115","","90",""
"2001年","31000","鳥取県","350719","","","","14.9","","32.3","","-0.2","","20","","163","","166",""
"2001年","32000","島根県","670709","","","","15.0","","32.0","","0.8","","17","","167","","154",""
"2001年","33000","岡山県","711221","","","","16.3","","33.5","","0.6","","32","","131","","88",""
"2001年","34000","広島県","847706","","","","16.3","","33.2","","0.8","","26","","118","","94",""
"2001年","35000","山口県","611076","","","","15.6","","33.2","","0.2","","32","","129","","116",""
"2001年","36000","徳島県","414526","","","","16.5","","32.4","","1.8","","24","","120","","98",""
"2001年","37000","香川県","187592","","","","16.5","","32.8","","1.5","","26","","117","","96",""
"2001年","38000","愛媛県","567644","","","","16.6","","32.8","","1.9","","33","","111","","98",""
"2001年","39000","高知県","710470","","","","17.2","","32.2","","1.3","","44","","109","","102",""
"2001年","40000","福岡県","497257","","","","17.1","","32.7","","3.3","","33","","124","","113",""
"2001年","41000","佐賀県","243923","","","","16.7","","33.1","","1.5","","43","","132","","110",""
"2001年","42000","長崎県","409280","","","","17.4","","32.5","","3.6","","34","","127","","102",""
"2001年","43000","熊本県","740381","","","","17.2","","33.9","","1.3","","32","","109","","107",""
"2001年","44000","大分県","633819","","","","16.8","","32.2","","2.5","","28","","119","","99",""
"2001年","45000","宮崎県","773463","","","","17.7","","32.0","","3.0","","54","","117","","115",""
"2001年","46000","鹿児島県","918690","","","","18.9","","33.2","","4.7","","31","","121","","119",""
"2001年","47000","沖縄県","227157","","","","23.4","","33.0","","15.0","","7","","137","","128",""
"2002年","01000","北海道","7841794","","","","9.1","","24.6","","-5.8","","9","","156","","126",""
"2002年","02000","青森県","960659","","","","10.5","","25.6","","-2.8","","12","","205","","172",""
"2002年","03000","岩手県","1527853","","","","10.2","","27.1","","-4.8","","8","","183","","145",""
"2002年","04000","宮城県","728527","","","","12.7","","28.1","","-0.2","","10","","144","","94",""
"2002年","05000","秋田県","1161222","","","","11.8","","27.9","","-1.5","","11","","214","","176",""
"2002年","06000","山形県","932339","","","","12.0","","30.8","","-2.2","","7","","210","","139",""
"2002年","07000","福島県","1378254","","","","13.3","","31.0","","-0.5","","12","","157","","95",""
"2002年","08000","茨城県","609562","","","","14.0","","30.9","","-1.0","","46","","150","","93",""
"2002年","09000","栃木県","640828","","","","14.3","","31.9","","-1.1","","45","","145","","98",""
"2002年","10000","群馬県","636316","","","","14.8","","32.4","","-0.1","","44","","130","","108",""
"2002年","11000","埼玉県","379730","","","","15.4","","33.3","","0.2","","69","","139","","84",""
"2002年","12000","千葉県","515658","","","","16.1","","31.3","","3.1","","57","","161","","101",""
"2002年","13000","東京都","218690","","","","16.7","","32.1","","3.4","","48","","150","","94",""
"2002年","14000","神奈川県","241547","","","","16.1","","31.4","","3.2","","41","","154","","105",""
"2002年","15000","新潟県","1258244","","","","14.2","","31.2","","1.3","","11","","199","","173",""
"2002年","16000","富山県","424730","","","","14.5","","32.0","","0.7","","13","","186","","186",""
"2002年","17000","石川県","418537","","","","15.2","","31.6","","1.5","","20","","178","","179",""
"2002年","18000","福井県","418899","","","","14.8","","32.1","","0.7","","20","","203","","158",""
"2002年","19000","山梨県","446537","","","","15.0","","33.3","","-1.9","","43","","126","","72",""
"2002年","20000","長野県","1358522","","","","12.3","","32.0","","-2.9","","17","","147","","106",""
"2002年","21000","岐阜県","1059818","","","","16.2","","34.4","","1.1","","29","","150","","112",""
"2002年","22000","静岡県","777963","","","","16.9","","32.2","","2.6","","54","","163","","109",""
"2002年","23000","愛知県","515784","","","","16.1","","34.5","","1.4","","26","","124","","90",""
"2002年","24000","三重県","577645","","","","16.3","","32.0","","3.0","","24","","153","","101",""
"2002年","25000","滋賀県","401736","","","","15.1","","32.3","","1.4","","15","","166","","123",""
"2002年","26000","京都府","461297","","","","16.3","","33.4","","1.9","","18","","144","","95",""
"2002年","27000","大阪府","189359","","","","17.3","","33.6","","4.0","","18","","134","","96",""
"2002年","28000","兵庫県","839283","","","","17.1","","32.1","","3.6","","22","","117","","85",""
"2002年","29000","奈良県","369109","","","","15.4","","33.0","","0.8","","22","","161","","109",""
"2002年","30000","和歌山県","472563","","","","17.0","","32.2","","3.3","","23","","129","","107",""
"2002年","31000","鳥取県","350720","","","","15.2","","32.4","","0.9","","16","","175","","157",""
"2002年","32000","島根県","670711","","","","15.3","","31.8","","1.3","","21","","166","","151",""
"2002年","33000","岡山県","711232","","","","16.6","","33.2","","2.2","","28","","137","","83",""
"2002年","34000","広島県","847736","","","","16.5","","33.0","","2.5","","26","","120","","104",""
"2002年","35000","山口県","611083","","","","15.9","","32.1","","1.3","","32","","143","","104",""
"2002年","36000","徳島県","414532","","","","16.8","","32.3","","3.2","","28","","118","","98",""
"2002年","37000","香川県","187598","","","","16.9","","33.0","","2.7","","22","","132","","92",""
"2002年","38000","愛媛県","567659","","","","17.0","","33.0","","3.2","","24","","121","","91",""
"2002年","39000","高知県","710486","","","","17.2","","31.8","","2.2","","32","","123","","122",""
"2002年","40000","福岡県","497298","","","","17.3","","31.6","","4.9","","28","","124","","102",""
"2002年","41000","佐賀県","243926","","","","16.9","","32.5","","2.5","","42","","152","","99",""
"2002年","42000","長崎県","409357","","","","17.5","","31.0","","4.7","","38","","142","","118",""
"2002年","43000","熊本県","740414","","","","17.4","","33.2","","2.9","","34","","135","","98",""
"2002年","44000","大分県","633841","","","","17.0","","32.7","","3.5","","27","","129","","83",""
"2002年","45000","宮崎県","773467","","","","18.0","","32.1","","4.3","","54","","120","","109",""
"2002年","46000","鹿児島県","918708","","","","18.8","","32.7","","5.6","","29","","141","","125",""
"2002年","47000","沖縄県","227213","","","","23.2","","31.4","","14.7","","10","","145","","102",""
"2003年","01000","北海道","7841857","","","","8.8","","24.7","","-7.2","","23","","157","","121",""
"2003年","02000","青森県","960675","","","","10.2","","25.2","","-4.0","","11","","215","","157",""
"2003年","03000","岩手県","1527863","","","","10.2","","25.7","","-6.2","","10","","179","","112",""
"2003年","04000","宮城県","728530","","","","12.1","","25.2","","-2.0","","17","","166","","105",""
"2003年","05000","秋田県","1161222","","","","11.8","","26.9","","-2.8","","13","","221","","163",""
"2003年","06000","山形県","932339","","","","11.7","","27.7","","-3.7","","12","","212","","128",""
"2003年","07000","福島県","1378275","","","","12.7","","27.9","","-2.4","","10","","173","","106",""
"2003年","08000","茨城県","609568","","","","13.3","","28.2","","-2.2","","33","","170","","112",""
"2003年","09000","栃木県","640828","","","","13.7","","28.9","","-2.6","","31","","173","","116",""
"2003年","10000","群馬県","636316","","","","14.3","","29.3","","-1.4","","29","","155","","115",""
"2003年","11000","埼玉県","379730","","","","14.9","","30.0","","-1.1","","60","","177","","120",""
"2003年","12000","千葉県","515661","","","","15.5","","29.1","","1.4","","42","","173","","125",""
"2003年","13000","東京都","218694","","","","16.0","","29.5","","2.0","","34","","172","","113",""
"2003年","14000","神奈川県","241569","","","","15.6","","28.9","","1.6","","24","","173","","116",""
"2003年","15000","新潟県","1258248","","","","13.8","","28.4","","-0.4","","9","","208","","166",""
"2003年","16000","富山県","424734","","","","14.1","","29.5","","-0.5","","7","","211","","177",""
"2003年","17000","石川県","418539","","","","14.8","","29.6","","1.0","","10","","205","","171",""
"2003年","18000","福井県","418901","","","","14.5","","30.6","","-0.2","","18","","213","","179",""
"2003年","19000","山梨県","446537","","","","14.8","","31.2","","-2.7","","33","","163","","107",""
"2003年","20000","長野県","1358522","","","","11.9","","29.3","","-4.9","","14","","155","","119",""
"2003年","21000","岐阜県","1059818","","","","15.8","","32.0","","-0.3","","29","","161","","125",""
"2003年","22000","静岡県","777981","","","","16.5","","29.6","","0.9","","41","","180","","134",""
"2003年","23000","愛知県","516215","","","","15.7","","31.5","","-0.2","","38","","138","","115",""
"2003年","24000","三重県","577656","","","","15.9","","30.6","","1.1","","25","","158","","122",""
"2003年","25000","滋賀県","401736","","","","14.7","","30.7","","-0.1","","15","","189","","142",""
"2003年","26000","京都府","461297","","","","15.8","","32.6","","0.5","","11","","177","","120",""
"2003年","27000","大阪府","189373","","","","16.9","","32.6","","2.1","","16","","156","","103",""
"2003年","28000","兵庫県","839334","","","","16.8","","31.0","","2.1","","17","","143","","109",""
"2003年","29000","奈良県","369109","","","","14.8","","31.5","","-0.8","","20","","179","","125",""
"2003年","30000","和歌山県","472567","","","","16.6","","31.8","","1.6","","17","","155","","110",""
"2003年","31000","鳥取県","350721","","","","14.9","","30.6","","0.2","","11","","200","","181",""
"2003年","32000","島根県","670723","","","","14.8","","29.9","","0.4","","11","","189","","166",""
"2003年","33000","岡山県","711267","","","","16.2","","31.9","","0.5","","22","","157","","106",""
"2003年","34000","広島県","847758","","","","16.1","","31.1","","0.8","","27","","150","","117",""
"2003年","35000","山口県","611094","","","","15.6","","31.0","","0.2","","30","","167","","135",""
"2003年","36000","徳島県","414546","","","","16.5","","31.1","","1.5","","26","","136","","116",""
"2003年","37000","香川県","187616","","","","16.5","","31.8","","1.1","","34","","145","","118",""
"2003年","38000","愛媛県","567676","","","","16.5","","31.1","","1.7","","31","","141","","118",""
"2003年","39000","高知県","710487","","","","17.3","","31.4","","1.4","","45","","138","","125",""
"2003年","40000","福岡県","497395","","","","17.2","","30.9","","2.9","","23","","153","","126",""
"2003年","41000","佐賀県","243931","","","","16.8","","32.0","","0.7","","44","","155","","124",""
"2003年","42000","長崎県","409404","","","","17.4","","30.7","","3.1","","36","","157","","125",""
"2003年","43000","熊本県","740431","","","","17.4","","32.7","","0.7","","39","","143","","121",""
"2003年","44000","大分県","633882","","","","16.6","","31.0","","1.6","","27","","145","","101",""
"2003年","45000","宮崎県","773476","","","","18.0","","31.4","","2.1","","56","","130","","117",""
"2003年","46000","鹿児島県","918739","","","","18.9","","32.3","","3.7","","39","","148","","120",""
"2003年","47000","沖縄県","227341","","","","23.4","","33.1","","13.1","","10","","136","","101",""
"2004年","01000","北海道","7841919","","","","9.7","","26.2","","-5.8","","11","","165","","150",""
"2004年","02000","青森県","960683","","","","11.3","","27.7","","-3.2","","9","","203","","165",""
"2004年","03000","岩手県","1527868","","","","10.9","","28.1","","-5.1","","9","","171","","128",""
"2004年","04000","宮城県","728553","","","","13.1","","28.3","","-1.6","","20","","143","","100",""
"2004年","05000","秋田県","1161222","","","","12.5","","28.7","","-2.0","","8","","218","","183",""
"2004年","06000","山形県","932339","","","","12.6","","30.8","","-3.5","","12","","195","","134",""
"2004年","07000","福島県","1378275","","","","13.8","","31.1","","-2.1","","18","","147","","109",""
"2004年","08000","茨城県","609568","","","","14.4","","30.4","","-2.3","","42","","127","","100",""
"2004年","09000","栃木県","640828","","","","14.8","","32.3","","-2.2","","45","","148","","105",""
"2004年","10000","群馬県","636316","","","","15.5","","34.1","","-0.6","","42","","124","","97",""
"2004年","11000","埼玉県","379730","","","","16.1","","34.9","","-0.2","","55","","134","","92",""
"2004年","12000","千葉県","515664","","","","16.8","","32.3","","2.4","","59","","126","","95",""
"2004年","13000","東京都","218694","","","","17.3","","33.1","","3.1","","33","","128","","93",""
"2004年","14000","神奈川県","241585","","","","16.9","","32.0","","2.7","","36","","130","","91",""
"2004年","15000","新潟県","1258260","","","","14.7","","30.3","","0.8","","14","","205","","170",""
"2004年","16000","富山県","424734","","","","15.2","","31.6","","0.1","","22","","174","","177",""
"2004年","17000","石川県","418543","","","","15.8","","31.9","","1.2","","18","","173","","171",""
"2004年","18000","福井県","418922","","","","15.5","","32.1","","0.4","","37","","171","","159",""
"2004年","19000","山梨県","446537","","","","15.8","","34.6","","-2.5","","43","","119","","87",""
"2004年","20000","長野県","1358522","","","","12.7","","31.5","","-4.3","","18","","135","","114",""
"2004年","21000","岐阜県","1059818","","","","16.9","","34.2","","0.0","","36","","141","","109",""
"2004年","22000","静岡県","777987","","","","17.5","","32.0","","1.1","","60","","151","","108",""
"2004年","23000","愛知県","516251","","","","16.8","","33.7","","0.2","","32","","121","","99",""
"2004年","24000","三重県","577660","","","","17.0","","33.0","","2.1","","27","","147","","98",""
"2004年","25000","滋賀県","401736","","","","15.7","","32.2","","0.7","","41","","163","","118",""
"2004年","26000","京都府","461298","","","","16.8","","34.5","","0.8","","27","","137","","95",""
"2004年","27000","大阪府","189376","","","","17.9","","34.0","","2.6","","27","","122","","95",""
"2004年","28000","兵庫県","839410","","","","17.8","","32.5","","2.8","","29","","116","","85",""
"2004年","29000","奈良県","369109","","","","15.7","","33.5","","-0.1","","33","","152","","102",""
"2004年","30000","和歌山県","472582","","","","17.6","","32.9","","2.5","","31","","123","","89",""
"2004年","31000","鳥取県","350725","","","","15.8","","33.0","","0.6","","22","","165","","160",""
"2004年","32000","島根県","670729","","","","15.8","","32.0","","1.1","","30","","163","","151",""
"2004年","33000","岡山県","711272","","","","17.1","","34.4","","0.7","","47","","119","","89",""
"2004年","34000","広島県","847775","","","","17.0","","33.5","","0.8","","51","","106","","91",""
"2004年","35000","山口県","611117","","","","16.3","","33.3","","-0.7","","44","","142","","108",""
"2004年","36000","徳島県","414548","","","","17.5","","32.7","","2.6","","33","","111","","97",""
"2004年","37000","香川県","187623","","","","17.3","","33.9","","1.6","","28","","109","","99",""
"2004年","38000","愛媛県","567703","","","","17.3","","33.2","","1.6","","36","","100","","99",""
"2004年","39000","高知県","710494","","","","17.9","","33.0","","1.2","","46","","118","","109",""
"2004年","40000","福岡県","497521","","","","17.8","","32.6","","2.8","","31","","118","","114",""
"2004年","41000","佐賀県","243954","","","","17.3","","33.2","","0.2","","49","","128","","101",""
"2004年","42000","長崎県","409464","","","","17.9","","33.0","","3.1","","45","","113","","97",""
"2004年","43000","熊本県","740466","","","","17.9","","33.9","","0.4","","39","","106","","113",""
"2004年","44000","大分県","633915","","","","17.4","","33.5","","1.7","","34","","105","","105",""
"2004年","45000","宮崎県","773477","","","","18.2","","33.4","","1.7","","67","","92","","116",""
"2004年","46000","鹿児島県","918754","","","","19.2","","33.1","","4.0","","42","","114","","106",""
"2004年","47000","沖縄県","227432","","","","23.4","","31.8","","14.3","","15","","137","","113",""
"2005年","01000","北海道","7841959","","","","8.9","","27.7","","-7.3","","10","","157","","141",""
"2005年","02000","青森県","960688","","","","10.1","","29.1","","-4.5","","12","","215","","179",""
"2005年","03000","岩手県","1527871","","","","10.0","","29.8","","-5.9","","4","","177","","143",""
"2005年","04000","宮城県","728560","","","","12.2","","28.8","","-2.2","","12","","145","","101",""
"2005年","05000","秋田県","1161222","","","","11.7","","30.3","","-2.9","","5","","227","","192",""
"2005年","06000","山形県","932339","","","","11.6","","30.8","","-3.7","","4","","209","","160",""
"2005年","07000","福島県","1378275","","","","12.9","","31.0","","-2.0","","9","","165","","116",""
"2005年","08000","茨城県","609568","","","","13.4","","30.1","","-2.6","","44","","135","","102",""
"2005年","09000","栃木県","640828","","","","13.8","","31.4","","-2.6","","35","","146","","107",""
"2005年","10000","群馬県","636316","","","","14.5","","31.8","","-1.1","","33","","135","","107",""
"2005年","11000","埼玉県","379730","","","","15.0","","32.8","","-1.0","","59","","150","","87",""
"2005年","12000","千葉県","515668","","","","15.8","","31.1","","2.1","","50","","151","","95",""
"2005年","13000","東京都","218696","","","","16.2","","31.8","","2.5","","39","","138","","94",""
"2005年","14000","神奈川県","241584","","","","15.8","","31.1","","2.4","","33","","133","","96",""
"2005年","15000","新潟県","1258332","","","","13.8","","31.0","","-0.4","","5","","210","","179",""
"2005年","16000","富山県","424739","","","","14.2","","31.4","","-0.2","","9","","186","","202",""
"2005年","17000","石川県","418546","","","","14.8","","31.5","","0.6","","10","","187","","200",""
"2005年","18000","福井県","418925","","","","14.5","","31.9","","0.1","","16","","200","","193",""
"2005年","19000","山梨県","446537","","","","14.9","","32.8","","-2.7","","36","","126","","75",""
"2005年","20000","長野県","1356223","","","","11.6","","30.3","","-4.7","","14","","147","","116",""
"2005年","21000","岐阜県","1062117","","","","15.9","","33.4","","-0.1","","27","","154","","107",""
"2005年","22000","静岡県","778003","","","","16.5","","31.0","","1.2","","57","","157","","93",""
"2005年","23000","愛知県","516402","","","","15.7","","33.4","","0.3","","18","","125","","90",""
"2005年","24000","三重県","577668","","","","16.1","","31.6","","2.2","","21","","137","","82",""
"2005年","25000","滋賀県","401736","","","","14.8","","31.7","","0.8","","17","","174","","136",""
"2005年","26000","京都府","461300","","","","15.9","","33.4","","0.6","","11","","138","","93",""
"2005年","27000","大阪府","189431","","","","17.0","","33.2","","2.8","","14","","126","","92",""
"2005年","28000","兵庫県","839492","","","","16.8","","31.5","","2.6","","17","","119","","81",""
"2005年","29000","奈良県","369109","","","","14.9","","32.6","","-0.1","","19","","151","","97",""
"2005年","30000","和歌山県","472608","","","","16.6","","31.8","","2.9","","12","","136","","85",""
"2005年","31000","鳥取県","350725","","","","14.9","","32.6","","0.5","","10","","188","","152",""
"2005年","32000","島根県","670733","","","","15.0","","31.8","","1.1","","17","","154","","154",""
"2005年","33000","岡山県","711273","","","","16.4","","32.7","","0.9","","22","","128","","71",""
"2005年","34000","広島県","847792","","","","16.1","","32.3","","0.9","","27","","107","","81",""
"2005年","35000","山口県","611191","","","","15.5","","32.4","","-0.5","","35","","131","","93",""
"2005年","36000","徳島県","414533","","","","16.7","","32.0","","2.4","","25","","112","","82",""
"2005年","37000","香川県","187641","","","","16.6","","32.8","","1.9","","17","","119","","85",""
"2005年","38000","愛媛県","567712","","","","16.6","","32.0","","1.9","","22","","109","","82",""
"2005年","39000","高知県","710501","","","","17.0","","32.3","","0.6","","31","","104","","85",""
"2005年","40000","福岡県","497612","","","","17.2","","32.3","","2.8","","24","","134","","92",""
"2005年","41000","佐賀県","243958","","","","16.6","","32.8","","0.3","","40","","134","","98",""
"2005年","42000","長崎県","409476","","","","17.2","","31.6","","2.8","","26","","132","","99",""
"2005年","43000","熊本県","740483","","","","17.1","","33.4","","0.4","","33","","111","","94",""
"2005年","44000","大分県","633932","","","","16.8","","32.4","","1.7","","27","","110","","61",""
"2005年","45000","宮崎県","773477","","","","17.4","","31.8","","2.1","","52","","99","","98",""
"2005年","46000","鹿児島県","918769","","","","18.5","","32.8","","3.9","","32","","128","","105",""
"2005年","47000","沖縄県","227459","","","","23.1","","32.1","","14.2","","3","","156","","134",""
"2006年","01000","北海道","7842006","","","","9.1","","28.8","","-6.8","","13","","180","","143",""
"2006年","02000","青森県","960704","","","","10.2","","29.0","","-4.4","","9","","208","","158",""
"2006年","03000","岩手県","1527877","","","","10.2","","30.0","","-6.7","","6","","178","","120",""
"2006年","04000","宮城県","728573","","","","12.3","","28.5","","-2.5","","14","","162","","107",""
"2006年","05000","秋田県","1161222","","","","11.9","","31.0","","-3.3","","9","","210","","175",""
"2006年","06000","山形県","932344","","","","11.7","","31.5","","-5.0","","6","","190","","138",""
"2006年","07000","福島県","1378275","","","","13.0","","31.5","","-2.4","","14","","174","","106",""
"2006年","08000","茨城県","609569","","","","13.9","","29.7","","-3.2","","27","","160","","108",""
"2006年","09000","栃木県","640828","","","","14.2","","31.0","","-3.2","","26","","181","","112",""
"2006年","10000","群馬県","636316","","","","14.8","","32.2","","-1.3","","24","","157","","106",""
"2006年","11000","埼玉県","379730","","","","15.3","","32.6","","-0.6","","40","","176","","95",""
"2006年","12000","千葉県","515668","","","","16.0","","30.8","","1.6","","35","","180","","112",""
"2006年","13000","東京都","218727","","","","16.4","","31.1","","2.0","","34","","175","","106",""
"2006年","14000","神奈川県","241584","","","","16.0","","30.8","","1.9","","36","","167","","107",""
"2006年","15000","新潟県","1258346","","","","13.9","","31.9","","-0.7","","11","","204","","172",""
"2006年","16000","富山県","424740","","","","14.2","","32.7","","-1.2","","13","","201","","180",""
"2006年","17000","石川県","418547","","","","14.6","","32.4","","-0.2","","20","","193","","173",""
"2006年","18000","福井県","418927","","","","14.5","","33.1","","-1.1","","20","","198","","168",""
"2006年","19000","山梨県","446537","","","","15.1","","33.2","","-2.5","","30","","164","","95",""
"2006年","20000","長野県","1356223","","","","12.1","","32.7","","-5.6","","17","","164","","113",""
"2006年","21000","岐阜県","1062117","","","","16.0","","34.4","","0.2","","30","","161","","124",""
"2006年","22000","静岡県","778009","","","","16.7","","30.6","","1.9","","38","","175","","114",""
"2006年","23000","愛知県","516406","","","","15.9","","33.6","","0.4","","24","","135","","119",""
"2006年","24000","三重県","577687","","","","16.0","","31.6","","1.8","","25","","159","","109",""
"2006年","25000","滋賀県","401736","","","","14.7","","32.7","","0.5","","23","","181","","134",""
"2006年","26000","京都府","461300","","","","15.9","","34.9","","0.9","","19","","167","","114",""
"2006年","27000","大阪府","189683","","","","17.0","","35.0","","2.3","","20","","151","","112",""
"2006年","28000","兵庫県","839547","","","","16.9","","33.3","","2.7","","19","","149","","103",""
"2006年","29000","奈良県","369109","","","","14.9","","34.2","","-0.9","","21","","172","","120",""
"2006年","30000","和歌山県","472612","","","","16.8","","33.5","","2.1","","20","","140","","104",""
"2006年","31000","鳥取県","350726","","","","15.0","","34.3","","0.2","","16","","186","","158",""
"2006年","32000","島根県","670734","","","","15.0","","33.4","","0.9","","17","","176","","155",""
"2006年","33000","岡山県","711300","","","","16.4","","34.5","","1.2","","37","","146","","100",""
"2006年","34000","広島県","847852","","","","16.3","","33.6","","1.9","","26","","137","","103",""
"2006年","35000","山口県","611222","","","","15.8","","33.6","","0.8","","26","","157","","119",""
"2006年","36000","徳島県","414569","","","","16.7","","33.2","","2.8","","24","","158","","110",""
"2006年","37000","香川県","187647","","","","16.5","","34.0","","1.9","","24","","137","","103",""
"2006年","38000","愛媛県","567738","","","","16.7","","33.3","","2.1","","23","","138","","110",""
"2006年","39000","高知県","710501","","","","17.7","","32.8","","2.9","","25","","131","","121",""
"2006年","40000","福岡県","497617","","","","17.2","","33.0","","4.0","","29","","148","","115",""
"2006年","41000","佐賀県","243958","","","","17.0","","34.3","","2.0","","37","","147","","109",""
"2006年","42000","長崎県","409522","","","","17.5","","32.4","","4.0","","31","","139","","119",""
"2006年","43000","熊本県","740521","","","","17.6","","34.5","","1.9","","27","","139","","130",""
"2006年","44000","大分県","633933","","","","16.9","","32.8","","2.6","","28","","137","","108",""
"2006年","45000","宮崎県","773478","","","","17.9","","32.0","","3.1","","47","","135","","112",""
"2006年","46000","鹿児島県","918780","","","","19.2","","33.7","","5.2","","39","","136","","126",""
"2006年","47000","沖縄県","227528","","","","23.5","","32.0","","15.6","","2","","148","","142",""
"2007年","01000","北海道","7842024","","","","9.4","","28.3","","-5.2","","15","","153","","132",""
"2007年","02000","青森県","960705","","","","11.1","","29.6","","-1.8","","6","","189","","151",""
"2007年","03000","岩手県","1527885","","","","10.7","","28.8","","-3.2","","9","","146","","126",""
"2007年","04000","宮城県","728574","","","","13.1","","29.9","","0.0","","20","","141","","98",""
"2007年","05000","秋田県","1161222","","","","12.4","","29.2","","-0.7","","10","","198","","158",""
"2007年","06000","山形県","932346","","","","12.2","","31.6","","-2.2","","11","","169","","133",""
"2007年","07000","福島県","1378275","","","","13.6","","31.9","","-0.6","","18","","145","","110",""
"2007年","08000","茨城県","609569","","","","14.4","","32.2","","-0.4","","40","","134","","100",""
"2007年","09000","栃木県","640828","","","","14.6","","32.6","","-0.9","","35","","141","","109",""
"2007年","10000","群馬県","636316","","","","15.3","","33.5","","0.5","","29","","129","","93",""
"2007年","11000","埼玉県","379730","","","","15.8","","34.3","","1.0","","53","","134","","90",""
"2007年","12000","千葉県","515670","","","","16.6","","32.6","","4.0","","42","","138","","101",""
"2007年","13000","東京都","218743","","","","17.0","","33.0","","4.6","","35","","137","","89",""
"2007年","14000","神奈川県","241584","","","","16.5","","32.1","","4.3","","32","","137","","100",""
"2007年","15000","新潟県","1258347","","","","14.4","","30.9","","1.7","","8","","190","","157",""
"2007年","16000","富山県","424755","","","","14.9","","33.4","","1.4","","11","","186","","159",""
"2007年","17000","石川県","418548","","","","15.1","","32.3","","1.9","","17","","179","","160",""
"2007年","18000","福井県","418928","","","","15.0","","32.9","","1.1","","20","","201","","156",""
"2007年","19000","山梨県","446537","","","","15.3","","34.0","","-0.8","","33","","131","","85",""
"2007年","20000","長野県","1356223","","","","12.5","","32.2","","-2.5","","10","","148","","102",""
"2007年","21000","岐阜県","1062117","","","","16.4","","34.7","","1.5","","33","","132","","111",""
"2007年","22000","静岡県","778012","","","","17.1","","31.9","","3.6","","36","","149","","98",""
"2007年","23000","愛知県","516457","","","","16.6","","34.4","","2.1","","21","","114","","100",""
"2007年","24000","三重県","577717","","","","16.6","","32.3","","3.7","","30","","125","","100",""
"2007年","25000","滋賀県","401736","","","","15.2","","32.8","","1.7","","24","","165","","135",""
"2007年","26000","京都府","461300","","","","16.3","","34.6","","1.9","","20","","143","","109",""
"2007年","27000","大阪府","189772","","","","17.6","","34.6","","4.3","","22","","121","","98",""
"2007年","28000","兵庫県","839561","","","","17.4","","32.4","","4.5","","22","","120","","93",""
"2007年","29000","奈良県","369109","","","","15.3","","33.9","","0.8","","31","","158","","110",""
"2007年","30000","和歌山県","472628","","","","17.3","","33.3","","3.6","","19","","121","","93",""
"2007年","31000","鳥取県","350726","","","","15.5","","33.6","","1.3","","18","","163","","152",""
"2007年","32000","島根県","670755","","","","15.7","","33.0","","1.9","","19","","153","","131",""
"2007年","33000","岡山県","711320","","","","17.0","","33.7","","2.2","","32","","139","","85",""
"2007年","34000","広島県","847903","","","","17.0","","33.4","","2.5","","17","","122","","86",""
"2007年","35000","山口県","611273","","","","16.2","","32.8","","1.0","","34","","137","","103",""
"2007年","36000","徳島県","414590","","","","17.4","","33.0","","4.4","","30","","129","","85",""
"2007年","37000","香川県","187651","","","","17.3","","33.8","","2.8","","23","","126","","90",""
"2007年","38000","愛媛県","567755","","","","17.3","","33.2","","3.3","","19","","121","","93",""
"2007年","39000","高知県","710504","","","","17.9","","32.6","","3.3","","28","","120","","103",""
"2007年","40000","福岡県","497659","","","","18.0","","33.7","","4.4","","20","","121","","100",""
"2007年","41000","佐賀県","243958","","","","17.4","","33.9","","2.2","","35","","128","","87",""
"2007年","42000","長崎県","409555","","","","18.0","","32.6","","4.5","","34","","116","","98",""
"2007年","43000","熊本県","740569","","","","18.0","","34.8","","2.6","","28","","114","","96",""
"2007年","44000","大分県","633934","","","","17.4","","33.3","","2.9","","31","","123","","86",""
"2007年","45000","宮崎県","773478","","","","18.1","","31.7","","3.8","","50","","118","","113",""
"2007年","46000","鹿児島県","918841","","","","19.3","","32.9","","5.6","","46","","112","","120",""
"2007年","47000","沖縄県","227571","","","","23.5","","32.5","","15.2","","8","","147","","133",""
"2008年","01000","北海道","7842044","","","","9.5","","25.7","","-7.5","","21","","","","121",""
"2008年","02000","青森県","960711","","","","10.7","","25.8","","-3.9","","17","","","","146",""
"2008年","03000","岩手県","1527886","","","","10.6","","27.5","","-6.8","","12","","","","119",""
"2008年","04000","宮城県","728575","","","","12.7","","26.7","","-1.9","","13","","","","102",""
"2008年","05000","秋田県","1161228","","","","12.3","","28.2","","-2.7","","12","","","","148",""
"2008年","06000","山形県","932346","","","","12.0","","29.8","","-4.1","","15","","","","135",""
"2008年","07000","福島県","1378275","","","","13.2","","29.7","","-2.4","","18","","","","107",""
"2008年","08000","茨城県","609569","","","","13.9","","28.8","","-2.1","","37","","","","101",""
"2008年","09000","栃木県","640828","","","","14.3","","30.3","","-2.6","","31","","","","119",""
